# locale;anonymized feature 127	 education;type;anonymized feature 53	 education;type;anonymized feature 55	 gender;anonymized feature 78	 hometown;id;anonymized feature 908	 education;type;anonymized feature 54	 birthday;anonymized feature 5	 education;year;id;anonymized feature 61	 education;year;id;anonymized feature 64	 education;school;id;anonymized feature 442	 education;school;id;anonymized feature 834	 education;year;id;anonymized feature 69	 education;school;id;anonymized feature 787	 education;school;id;anonymized feature 52	 education;concentration;id;anonymized feature 14	 work;end_date;anonymized feature 166	 location;id;anonymized feature 128	 education;degree;id;anonymized feature 22	 work;start_date;anonymized feature 199	 work;location;id;anonymized feature 176	 work;end_date;anonymized feature 162	 education;year;id;anonymized feature 544	 work;employer;id;anonymized feature 972	 work;start_date;anonymized feature 160	 work;position;id;anonymized feature 985
-0.488029	0.536335	1.189022	-0.144260	0.416449	0.134423	1.396825	0.626735	-0.375796	-3.418549	1.092895	-0.467823	-1.653488	-1.315816	-0.719371	-0.866763	-1.244212	-0.002585	0.238179	-2.191875	-1.811133	0.262459	-1.057580	-1.611364	-1.441874
1.174263	0.322732	0.311402	0.130441	0.026186	0.588978	-0.182120	1.009348	1.135484	-1.369641	-1.173728	0.714035	-0.070856	-1.020217	0.566906	0.638974	-0.629112	0.947674	0.305271	0.005807	0.524420	1.677284	-0.665040	0.319818	-0.000006
0.995786	0.474166	0.601367	0.126673	0.627071	0.406779	-0.489277	0.016451	0.107343	-0.637110	-1.250017	-0.628844	-0.818780	4.509984	-0.049988	-0.164326	2.747576	0.399727	-0.000792	-0.000060	-0.007411	0.000158	0.005429	-0.000560	0.000544
0.910404	0.214473	0.171826	0.035796	-1.164377	-0.510058	-0.439002	-0.568686	1.604114	-0.390386	-0.753020	0.952883	2.724517	-0.119180	-0.682354	-0.000079	-0.051871	-0.157871	-0.693154	-0.179552	0.421261	-0.000320	-0.002867	-0.001686	0.000002
0.320663	-0.003724	0.132435	0.487122	-0.980572	-1.532662	-1.321314	-1.012881	-1.000128	-1.996716	-1.001754	-1.079385	2.588728	-0.166862	-0.082891	0.492928	-0.179435	-0.510330	0.808542	-0.672923	-0.003522	-0.000648	0.000188	0.000235	-0.000045
0.440902	1.176248	1.079981	0.224922	1.177677	0.822248	-0.299443	-0.005035	0.003447	4.812234	-0.875289	-0.446408	-0.388398	-0.119462	-0.312099	-0.974065	-0.000991	0.160261	-0.080055	-0.004019	0.001293	-0.000701	0.000460	-0.012711	0.000011
1.747599	0.443118	0.003818	-0.054755	-1.868302	-1.279973	-0.401423	-0.901185	2.883962	5.058718	-1.292887	3.248059	-0.531908	-0.193251	0.502454	2.188536	-0.161550	-0.006020	2.404353	3.136305	1.911147	-0.000180	2.074164	0.637599	0.864240
-0.638917	-0.003851	0.384162	-0.002500	0.841283	0.097721	-1.192574	0.007568	0.310733	-1.742450	0.898924	-0.652464	-0.045463	-0.076634	-0.001899	-0.212235	-0.125613	0.000017	0.000500	-0.037555	-0.011917	0.000197	-0.008406	-0.000184	-0.000019
0.462399	0.015611	0.081665	-0.000916	0.553866	0.377708	0.003612	0.147221	-0.037054	-0.526810	-0.202975	-0.320209	-0.005517	0.035259	-0.102371	0.288049	0.042354	0.042002	0.230958	0.025509	1.369915	-0.000452	1.252634	0.172175	0.643538
0.128680	-0.481415	-0.442729	-0.821411	-0.668990	-0.206282	-0.669300	-0.001813	-0.347757	-0.350889	-0.319349	-0.355679	-0.003739	0.015246	-0.002212	-0.036993	-0.052532	0.000002	-0.043202	-0.006749	-0.001302	-0.000319	-0.011546	0.000407	-0.000005
